id,name,age,city,country,department,salary,email,score
0.0,ali,25.0,lyon,france,finance,2200.0,unknown,50.0
unknown,sara,29.0,marseille,france,it,2000.0,test@yahoo.com,90.0
2.0,omar,23.0,unknown,unknown,unknown,4000.0,test@yahoo.com,100.0
3.0,mohamed,25.0,paris,unknown,sales,3500.0,contact@outlook.com,40.0
490.0,sara,21.0,marseille,france,it,3500.0,unknown,50.0
unknown,nadia,28.0,paris,fra,sales,3000.0,contact@outlook.com,50.0
7.0,karim,24.0,lille,unknown,it,2200.0,contact@outlook.com,40.0
343.0,sara,30.0,unknown,france,hr,3000.0,unknown,30.0
412.0,karim,24.0,paris,france,it,2500.0,unknown,70.0
unknown,karim,29.0,marseille,fr,finance,2200.0,unknown,20.0
32.0,karim,29.0,lille,unknown,marketing,3000.0,user@gmail.com,50.0
unknown,unknown,28.0,lyon,unknown,it,2000.0,contact@outlook.com,30.0
16.0,sara,25.0,lyon,unknown,hr,3000.0,user@gmail.com,50.0
unknown,unknown,20.0,unknown,fr,unknown,1800.0,user@gmail.com,50.0
unknown,mohamed,22.0,paris,unknown,unknown,3000.0,test@yahoo.com,90.0
332.0,nadia,28.0,lille,france,finance,2500.0,user@gmail.com,10.0
24.0,unknown,25.0,paris,unknown,finance,3000.0,unknown,40.0
26.0,sara,30.0,marseille,fr,sales,4000.0,invalid-email,50.0
28.0,fatima,28.0,lille,france,sales,2200.0,contact@outlook.com,40.0
unknown,mohamed,28.0,unknown,unknown,unknown,2200.0,test@yahoo.com,40.0
33.0,amina,25.0,lille,france,it,1800.0,user@gmail.com,80.0
unknown,mohamed,20.0,lille,france,hr,2000.0,unknown,50.0
unknown,omar,25.0,lyon,france,it,2500.0,contact@outlook.com,30.0
unknown,fatima,28.0,lyon,france,it,2000.0,test@yahoo.com,50.0
80.0,unknown,28.0,lyon,unknown,unknown,1800.0,unknown,90.0
unknown,fatima,25.0,marseille,france,marketing,3000.0,invalid-email,10.0
unknown,karim,25.0,lyon,france,it,3500.0,test@yahoo.com,50.0
unknown,nadia,28.0,marseille,unknown,it,2000.0,user@gmail.com,30.0
44.0,unknown,25.0,,unknown,hr,4000.0,test@yahoo.com,50.0
unknown,unknown,25.0,marseille,unknown,finance,3000.0,test@yahoo.com,50.0
49.0,fatima,20.0,unknown,france,sales,3500.0,contact@outlook.com,20.0
495.0,lina,30.0,lille,fra,unknown,3500.0,user@gmail.com,50.0
unknown,youssef,20.0,paris,unknown,sales,3500.0,unknown,60.0
unknown,omar,21.0,marseille,unknown,finance,3000.0,user@gmail.com,70.0
unknown,unknown,25.0,lille,unknown,finance,3500.0,invalid-email,50.0
471.0,amina,25.0,unknown,france,marketing,3000.0,contact@outlook.com,70.0
167.0,sara,24.0,lille,france,finance,4000.0,unknown,50.0
56.0,amina,29.0,lyon,fra,unknown,1800.0,contact@outlook.com,40.0
59.0,ali,24.0,lyon,france,hr,1800.0,user@gmail.com,80.0
61.0,mohamed,30.0,paris,france,sales,2500.0,test@yahoo.com,50.0
265.0,ali,28.0,lyon,france,unknown,2200.0,invalid-email,90.0
unknown,lina,25.0,lille,unknown,unknown,4000.0,unknown,30.0
122.0,nadia,21.0,lyon,france,marketing,3500.0,contact@outlook.com,20.0
66.0,fatima,26.0,paris,unknown,finance,2000.0,invalid-email,60.0
unknown,sara,28.0,unknown,france,unknown,2500.0,contact@outlook.com,80.0
72.0,youssef,26.0,marseille,france,unknown,3500.0,contact@outlook.com,70.0
unknown,sara,25.0,unknown,france,it,2500.0,test@yahoo.com,10.0
77.0,unknown,24.0,,unknown,sales,4000.0,unknown,20.0
331.0,ali,25.0,marseille,fra,sales,4000.0,contact@outlook.com,80.0
238.0,unknown,25.0,unknown,fr,it,2500.0,user@gmail.com,80.0
124.0,amina,29.0,unknown,fra,it,1800.0,invalid-email,60.0
353.0,ali,25.0,lille,fra,it,2000.0,contact@outlook.com,70.0
87.0,youssef,30.0,unknown,fr,unknown,3000.0,unknown,70.0
unknown,lina,25.0,lille,fr,marketing,3000.0,test@yahoo.com,50.0
98.0,sara,25.0,lille,unknown,hr,2500.0,test@yahoo.com,80.0
unknown,amina,25.0,lille,unknown,marketing,2000.0,test@yahoo.com,40.0
91.0,youssef,20.0,lille,france,marketing,1800.0,user@gmail.com,50.0
225.0,mohamed,20.0,lyon,fra,sales,2000.0,invalid-email,20.0
unknown,ali,20.0,paris,france,marketing,2000.0,test@yahoo.com,90.0
391.0,amina,29.0,unknown,france,unknown,4000.0,invalid-email,50.0
unknown,fatima,24.0,unknown,france,hr,2500.0,test@yahoo.com,20.0
98.0,karim,27.0,,fra,marketing,1800.0,test@yahoo.com,50.0
unknown,unknown,27.0,paris,unknown,finance,3000.0,unknown,50.0
100.0,karim,21.0,lille,france,hr,3000.0,test@yahoo.com,10.0
84.0,amina,25.0,unknown,fr,unknown,2000.0,invalid-email,50.0
358.0,youssef,28.0,lille,fra,unknown,2000.0,unknown,70.0
469.0,mohamed,29.0,marseille,unknown,unknown,2000.0,invalid-email,70.0
483.0,unknown,25.0,lille,france,unknown,2000.0,contact@outlook.com,60.0
110.0,unknown,24.0,lille,unknown,unknown,2000.0,user@gmail.com,100.0
111.0,sara,22.0,lyon,unknown,it,3000.0,invalid-email,40.0
139.0,unknown,27.0,lille,france,unknown,3000.0,test@yahoo.com,40.0
116.0,nadia,28.0,lille,fr,it,3000.0,unknown,80.0
477.0,unknown,23.0,lyon,unknown,sales,2500.0,invalid-email,60.0
unknown,lina,25.0,paris,fra,sales,3000.0,invalid-email,50.0
354.0,ali,21.0,marseille,unknown,unknown,4000.0,contact@outlook.com,50.0
454.0,unknown,28.0,paris,unknown,sales,2500.0,unknown,50.0
124.0,ali,25.0,paris,fr,it,3500.0,invalid-email,40.0
271.0,amina,30.0,paris,france,hr,2000.0,unknown,70.0
unknown,ali,25.0,lille,fr,unknown,2200.0,user@gmail.com,60.0
300.0,ali,26.0,lyon,fra,marketing,2500.0,invalid-email,80.0
403.0,ali,29.0,marseille,unknown,hr,2000.0,contact@outlook.com,50.0
134.0,fatima,22.0,lille,fr,unknown,3000.0,contact@outlook.com,30.0
131.0,mohamed,24.0,marseille,france,unknown,2000.0,test@yahoo.com,40.0
unknown,sara,30.0,marseille,unknown,it,2000.0,invalid-email,50.0
140.0,youssef,27.0,paris,france,finance,3000.0,test@yahoo.com,80.0
unknown,sara,25.0,lille,fra,hr,4000.0,unknown,80.0
unknown,lina,28.0,unknown,fr,it,4000.0,contact@outlook.com,20.0
485.0,sara,30.0,lyon,unknown,it,1800.0,contact@outlook.com,30.0
