id,name,age,city,country,department,salary,email,join_date,score
0.0,Ali,25.0,lyon,france, Finance ,2200.0,,2023-01-05,50.0
,Sara,29.0,marseille,France,IT,2000.0,test@yahoo.com,,90.0
2.0,Omar,23.0,,,,4000.0,test@yahoo.com,,100.0
3.0, mohamed  ,25.0,PARIS,,SALES,3500.0,contact@outlook.com,,40.0
490.0,Sara,21.0, marseille ,France,it,3500.0,,,50.0
, Nadia ,28.0,paris,FRA,Sales,3000.0,contact@outlook.com,,50.0
316.0,Amina,23.0,paris,France,Finance,999999.0,contact@outlook.com,2023-01-05,40.0
7.0,Karim,24.0, LILLE ,,it,2200.0,contact@outlook.com,,40.0
343.0, SARA ,30.0,,France,HR,3000.0,,,30.0
236.0,Youssef,30.0,Lille,france,it,999999.0,user@gmail.com,,10.0
412.0, Karim ,24.0,paris,france,it,2500.0,,,70.0
, Nadia ,22.0,lyon,france,Finance,-100.0,,,50.0
,Karim,29.0,marseille,FR,Finance,2200.0,,,20.0
13.0,,21.0,PARIS,,HR,999999.0,,,100.0
32.0,Karim,29.0,LILLE,,Marketing,3000.0,user@gmail.com,,50.0
,,28.0,lyon,,it,2000.0,contact@outlook.com,,30.0
16.0,SARA,25.0,lyon,,HR,3000.0,user@gmail.com,,50.0
,Omar,29.0,Lyon,france, it ,999999.0,test@yahoo.com,,50.0
,,20.0,,FR,,1800.0,user@gmail.com,,50.0
19.0, Ali ,23.0,,France,Sales,-100.0,invalid-email,,20.0
,mohamed ,22.0, PARIS ,,,3000.0,test@yahoo.com,,90.0
, Karim ,23.0, Lille ,,Finance,-100.0,contact@outlook.com,,50.0
332.0, Nadia ,28.0,LILLE,France,Finance,2500.0,user@gmail.com,,10.0
, Fatima ,29.0, Lyon ,France,Sales,-100.0,,2023-01-05,40.0
24.0,,25.0, paris ,,Finance,3000.0,,,40.0
25.0,SARA,29.0,,FRA,Finance,999999.0,invalid-email,,70.0
26.0,Sara,30.0,marseille,FR, SALES ,4000.0,invalid-email,,50.0
, ali ,30.0, paris ,France,SALES,-100.0,contact@outlook.com,,20.0
28.0,Fatima,28.0,LILLE,france,SALES,2200.0,contact@outlook.com,,40.0
29.0,Nadia,25.0, Lille ,France,IT,2500.0,,,10.0
30.0,,25.0,Lyon,france,SALES,2500.0,invalid-email,,70.0
31.0, Mohamed ,26.0,Paris,FRA,Marketing,999999.0,invalid-email,,70.0
,mohamed ,28.0,,,,2200.0,test@yahoo.com,,40.0
33.0,Amina,25.0,Lille,France,it,1800.0,user@gmail.com,,80.0
,Mohamed,20.0, Lille ,France,HR,2000.0,,2023-01-05,50.0
35.0,Karim,21.0,  ,france,IT,2500.0,user@gmail.com,,50.0
, Omar ,25.0,lyon,france,it,2500.0,contact@outlook.com,,30.0
,Youssef,27.0,Marseille,France,IT,2500.0,,,20.0
, Fatima ,28.0,lyon,france,it,2000.0,test@yahoo.com,,50.0
80.0,,28.0,lyon,,,1800.0,,,90.0
, Sara ,22.0,lyon,France,Sales,-100.0,,,50.0
,Fatima,25.0,Marseille,france,Marketing,3000.0,invalid-email,,10.0
,Karim,25.0,lyon,France,IT,3500.0,test@yahoo.com,,50.0
,Nadia,28.0, marseille ,,IT,2000.0,user@gmail.com,,30.0
44.0,,25.0,  ,, HR ,4000.0,test@yahoo.com,2023-01-05,50.0
45.0,,25.0,Lyon,,Finance,2500.0,user@gmail.com,,50.0
286.0,Amina,25.0,PARIS,france, HR ,999999.0,test@yahoo.com,,10.0
,,25.0,marseille,,Finance,3000.0,test@yahoo.com,,50.0
55.0,,20.0,LILLE,france,Finance,2500.0,contact@outlook.com,,50.0
49.0, Fatima ,20.0,,france, SALES ,3500.0,contact@outlook.com,,20.0
495.0,Lina,30.0,Lille,FRA,,3500.0,user@gmail.com,2023-01-05,50.0
,Youssef,20.0,paris,, SALES ,3500.0,,,60.0
, Omar ,21.0,marseille,,Finance,3000.0,user@gmail.com,,70.0
,,25.0,Lille,,Finance,3500.0,invalid-email,2023-01-05,50.0
471.0,Amina,25.0,,France,Marketing,3000.0,contact@outlook.com,,70.0
167.0,SARA,24.0,Lille,france,Finance,4000.0,,,50.0
56.0,Amina,29.0, lyon ,FRA,,1800.0,contact@outlook.com,,40.0
,Amina,30.0,Marseille,FRA,,2500.0,,,90.0
,Mohamed,30.0,paris,FR,,2500.0,,,60.0
59.0, ali ,24.0,Lyon,france, HR ,1800.0,user@gmail.com,,80.0
60.0, Nadia ,26.0,,, Finance ,-100.0,,,80.0
61.0,Mohamed,30.0, Paris ,France, SALES ,2500.0,test@yahoo.com,,50.0
265.0, Ali ,28.0,Lyon,France,,2200.0,invalid-email,,90.0
,Lina,25.0,LILLE,,,4000.0,,,30.0
380.0,Nadia,24.0,Lyon,,Marketing,999999.0,,,50.0
122.0, Nadia ,21.0,lyon,france,Marketing,3500.0,contact@outlook.com,,20.0
66.0, Fatima ,26.0,PARIS,,Finance,2000.0,invalid-email,,60.0
277.0,Karim,20.0,Lyon,FRA,SALES,999999.0,,,10.0
,Karim,27.0,Paris,FR,Marketing,999999.0,invalid-email,,70.0
,SARA,28.0,,france,,2500.0,contact@outlook.com,,80.0
14.0,Lina,30.0,,FRA,HR,2500.0,test@yahoo.com,,90.0
13.0,Amina,29.0,,France,Sales,2500.0,invalid-email,,80.0
72.0,Youssef,26.0,Marseille,france,,3500.0,contact@outlook.com,,70.0
142.0,Youssef,25.0,paris,FRA, IT ,-100.0,,2023-01-05,60.0
,Sara,25.0,,France,IT,2500.0,test@yahoo.com,,10.0
75.0,Fatima,22.0,LILLE,,Sales,2500.0,test@yahoo.com,,50.0
131.0,Mohamed,29.0,,,Sales,999999.0,test@yahoo.com,,20.0
77.0,,24.0,  ,, SALES ,4000.0,,,20.0
,,30.0,Lyon,France,Marketing,2500.0,,,20.0
,mohamed ,20.0,Marseille,,SALES,2500.0,contact@outlook.com,2023-01-05,90.0
331.0,Ali,25.0,marseille,FRA,Sales,4000.0,contact@outlook.com,,80.0
81.0,Karim,22.0,Lille,,Marketing,2500.0,,,80.0
238.0,,25.0,,FR,it,2500.0,user@gmail.com,,80.0
124.0,Amina,29.0,,FRA,it,1800.0,invalid-email,,60.0
93.0,Fatima,25.0,lyon,FR,Marketing,2500.0,,,90.0
, Fatima ,21.0,Lyon,,SALES,2500.0,,,40.0
353.0, ali ,25.0,LILLE,FRA,IT,2000.0,contact@outlook.com,,70.0
87.0,Youssef,30.0,,FR,,3000.0,,,70.0
,Lina,25.0,LILLE,FR,Marketing,3000.0,test@yahoo.com,2023-01-05,50.0
98.0,Sara,25.0,Lille,,HR,2500.0,test@yahoo.com,,80.0
,Amina,25.0,Lille,,Marketing,2000.0,test@yahoo.com,,40.0
91.0,Youssef,20.0,Lille,france, Marketing ,1800.0,user@gmail.com,,50.0
92.0,  ali  ,25.0, LILLE ,France,IT,2500.0,contact@outlook.com,,80.0
225.0,Mohamed,20.0,lyon,FRA,Sales,2000.0,invalid-email,,20.0
, ali ,20.0,PARIS,france,Marketing,2000.0,test@yahoo.com,2023-01-05,90.0
391.0,Amina,29.0,,france,,4000.0,invalid-email,,50.0
,Karim,24.0,,,IT,2500.0,,2023-01-05,50.0
,Fatima,24.0,,France,HR,2500.0,test@yahoo.com,,20.0
98.0,Karim,27.0,  ,FRA,Marketing,1800.0,test@yahoo.com,,50.0
,,27.0,paris,, Finance ,3000.0,,,50.0
100.0,Karim,21.0,Lille,france, HR ,3000.0,test@yahoo.com,2023-01-05,10.0
84.0,Amina,25.0,,FR,,2000.0,invalid-email,,50.0
358.0, Youssef ,28.0,Lille,FRA,,2000.0,,2023-01-05,70.0
376.0,Amina,24.0,Paris,France, Finance ,2500.0,,,10.0
,,24.0,,France,HR,2500.0,,,80.0
469.0,Mohamed,29.0,marseille,,,2000.0,invalid-email,,70.0
170.0, ali ,21.0,PARIS,FR,SALES,-100.0,invalid-email,,50.0
483.0,,25.0, Lille ,France,,2000.0,contact@outlook.com,,60.0
59.0,,28.0,Paris,,,2500.0,invalid-email,2023-01-05,40.0
265.0,Amina,25.0,LILLE,,,999999.0,user@gmail.com,,50.0
