id,name,age,city,country,department,salary,email,join_date,score
0.0,Ali,,lyon,france, Finance ,2200,,2023-01-05,
,Sara,29,marseille,France,IT,2000,test@yahoo.com,05/01/2023,90
2.0,Omar,23,,,,4000,test@yahoo.com,2023/01/05,100
3.0, mohamed  ,twenty,PARIS,,SALES,3500,contact@outlook.com,05/01/2023,40
490.0,Sara,21, marseille ,France,it,3500,,Jan 5 2023,fifty
, Nadia ,28,paris,FRA,Sales,3000€,contact@outlook.com,,
316.0,Amina,23,paris,France,Finance,999999,contact@outlook.com,2023-01-05,40
7.0,Karim,24, LILLE ,,it,2200,contact@outlook.com,Jan 5 2023,40
343.0, SARA ,30,,France,HR,3000€,,05/01/2023,30
236.0,Youssef,30,Lille,france,it,999999,user@gmail.com,05/01/2023,10
412.0, Karim ,24,paris,france,it,2500,,2023/01/05,70
, Nadia ,22,lyon,france,Finance,-100,,not_a_date,50
,Karim,29,marseille,FR,Finance,2200,,2023/01/05,20
13.0,,21,PARIS,,HR,999999,,2023/01/05,100
32.0,Karim,29,LILLE,,Marketing,3000€,user@gmail.com,,N/A
,,28,lyon,,it,2000,contact@outlook.com,2023/01/05,30
16.0,SARA,,lyon,,HR,3000€,user@gmail.com,,
,Omar,29,Lyon,france, it ,999999,test@yahoo.com,not_a_date,fifty
,,20,,FR,,1800,user@gmail.com,Jan 5 2023,fifty
19.0, Ali ,23,,France,Sales,-100,invalid-email,,20
,mohamed ,22, PARIS ,,,3000€,test@yahoo.com,Jan 5 2023,90
, Karim ,23, Lille ,,Finance,-100,contact@outlook.com,2023/01/05,
332.0, Nadia ,28,LILLE,France,Finance,2500,user@gmail.com,Jan 5 2023,10
, Fatima ,29, Lyon ,France,Sales,-100,,2023-01-05,40
24.0,,25, paris ,,Finance,3000,,2023/01/05,40
25.0,SARA,29,,FRA,Finance,999999,invalid-email,,70
26.0,Sara,30,marseille,FR, SALES ,4000,invalid-email,,N/A
, ali ,30, paris ,France,SALES,-100,contact@outlook.com,,20
28.0,Fatima,28,LILLE,france,SALES,2200,contact@outlook.com,2023/01/05,40
29.0,Nadia,twenty, Lille ,France,IT,??,,,10
30.0,,twenty,Lyon,france,SALES,,invalid-email,05/01/2023,70
31.0, Mohamed ,26,Paris,FRA,Marketing,999999,invalid-email,Jan 5 2023,70
,mohamed ,28,,,,2200,test@yahoo.com,Jan 5 2023,40
33.0,Amina,,Lille,France,it,1800,user@gmail.com,not_a_date,80
,Mohamed,20, Lille ,France,HR,2000,,2023-01-05,
35.0,Karim,21,  ,france,IT,4k,user@gmail.com,2023/01/05,
, Omar ,25,lyon,france,it,2500,contact@outlook.com,2023/01/05,30
,Youssef,27,Marseille,France,IT,,,not_a_date,20
, Fatima ,28,lyon,france,it,2000,test@yahoo.com,Jan 5 2023,50
80.0,,28,lyon,,,1800,,,90
, Sara ,22,lyon,France,Sales,-100,,05/01/2023,50
,Fatima,,Marseille,france,Marketing,3000€,invalid-email,Jan 5 2023,10
,Karim,??,lyon,France,IT,3500,test@yahoo.com,,50
,Nadia,28, marseille ,,IT,2000,user@gmail.com,,30
44.0,,25,  ,, HR ,4000,test@yahoo.com,2023-01-05,50
45.0,,25,Lyon,,Finance,??,user@gmail.com,Jan 5 2023,fifty
286.0,Amina,,PARIS,france, HR ,999999,test@yahoo.com,2023/01/05,10
,,25,marseille,,Finance,3000,test@yahoo.com,,N/A
55.0,,20,LILLE,france,Finance,,contact@outlook.com,Jan 5 2023,fifty
49.0, Fatima ,20,,france, SALES ,3500,contact@outlook.com,,20
495.0,Lina,30,Lille,FRA,,3500,user@gmail.com,2023-01-05,50
,Youssef,20,paris,, SALES ,3500,,,60
, Omar ,21,marseille,,Finance,3000,user@gmail.com,,70
,,twenty,Lille,,Finance,3500,invalid-email,2023-01-05,
471.0,Amina,25,,France,Marketing,3000€,contact@outlook.com,,70
167.0,SARA,24,Lille,france,Finance,4000,,2023/01/05,
56.0,Amina,29, lyon ,FRA,,1800,contact@outlook.com,Jan 5 2023,40
,Amina,30,Marseille,FRA,,,,05/01/2023,90
,Mohamed,30,paris,FR,,??,,not_a_date,60
59.0, ali ,24,Lyon,france, HR ,1800,user@gmail.com,05/01/2023,80
60.0, Nadia ,26,,, Finance ,-100,,2023/01/05,80
61.0,Mohamed,30, Paris ,France, SALES ,2500,test@yahoo.com,,N/A
265.0, Ali ,28,Lyon,France,,2200,invalid-email,,90
,Lina,twenty,LILLE,,,4000,,2023/01/05,30
380.0,Nadia,24,Lyon,,Marketing,999999,,2023/01/05,
122.0, Nadia ,21,lyon,france,Marketing,3500,contact@outlook.com,not_a_date,20
66.0, Fatima ,26,PARIS,,Finance,2000,invalid-email,2023/01/05,60
277.0,Karim,20,Lyon,FRA,SALES,999999,,,10
,Karim,27,Paris,FR,Marketing,999999,invalid-email,,70
,SARA,28,,france,,2500,contact@outlook.com,2023/01/05,80
14.0,Lina,30,,FRA,HR,,test@yahoo.com,not_a_date,90
13.0,Amina,29,,France,Sales,??,invalid-email,05/01/2023,80
72.0,Youssef,26,Marseille,france,,3500,contact@outlook.com,,70
142.0,Youssef,??,paris,FRA, IT ,-100,,2023-01-05,60
,Sara,twenty,,France,IT,2500,test@yahoo.com,,10
75.0,Fatima,22,LILLE,,Sales,4k,test@yahoo.com,2023/01/05,N/A
131.0,Mohamed,29,,,Sales,999999,test@yahoo.com,Jan 5 2023,20
77.0,,24,  ,, SALES ,4000,,05/01/2023,20
,,30,Lyon,France,Marketing,??,,,20
,mohamed ,20,Marseille,,SALES,??,contact@outlook.com,2023-01-05,90
331.0,Ali,??,marseille,FRA,Sales,4000,contact@outlook.com,,80
81.0,Karim,22,Lille,,Marketing,4k,,,80
238.0,,,,FR,it,2500,user@gmail.com,Jan 5 2023,80
124.0,Amina,29,,FRA,it,1800,invalid-email,,60
93.0,Fatima,25,lyon,FR,Marketing,4k,,Jan 5 2023,90
, Fatima ,21,Lyon,,SALES,,,,40
353.0, ali ,,LILLE,FRA,IT,2000,contact@outlook.com,05/01/2023,70
87.0,Youssef,30,,FR,,3000€,,Jan 5 2023,70
,Lina,25,LILLE,FR,Marketing,3000,test@yahoo.com,2023-01-05,N/A
98.0,Sara,,Lille,,HR,2500,test@yahoo.com,,80
,Amina,twenty,Lille,,Marketing,2000,test@yahoo.com,Jan 5 2023,40
91.0,Youssef,20,Lille,france, Marketing ,1800,user@gmail.com,not_a_date,50
92.0,  ali  ,??, LILLE ,France,IT,4k,contact@outlook.com,2023/01/05,80
225.0,Mohamed,20,lyon,FRA,Sales,2000,invalid-email,2023/01/05,20
, ali ,20,PARIS,france,Marketing,2000,test@yahoo.com,2023-01-05,90
391.0,Amina,29,,france,,4000,invalid-email,2023/01/05,50
